Frequency (GHz),Offset (dB),Gain (dB),Peak S21 (dB)
2,22.5,8.79,-13.71
2.1,24.18,8.91,-15.27
2.2,25.51,9.06,-16.45
2.3,26.52,9.21,-17.31
2.4,26.17,9.36,-16.81
2.5,25.33,9.51,-15.82
2.6,26.19,9.66,-16.53
2.7,27.63,9.83,-17.8
2.8,27.58,9.98,-17.6
2.9,27.37,10.14,-17.23
3,26.56,10.32,-16.24
3.1,26,10.39,-15.61
3.2,28.01,10.49,-17.52
3.3,29.88,10.59,-19.29
3.4,29.35,10.69,-18.66
3.5,28.85,10.79,-18.06
3.6,28.35,10.88,-17.47
3.7,28.33,10.98,-17.35
3.8,29.01,11.08,-17.93
3.9,28.87,11.19,-17.68
4,27.97,11.3,-16.67
4.1,27.73,11.44,-16.29
4.2,27.92,11.63,-16.29
4.3,28.17,11.81,-16.36
4.4,28.46,11.99,-16.47
4.5,28.84,12.16,-16.68
4.6,29.27,12.34,-16.93
4.7,28.99,12.53,-16.46
4.8,28.66,12.72,-15.94
4.9,28.91,12.91,-16
5,29.23,13.1,-16.13
5.1,30.08,13.15,-16.93
5.2,30.72,13.21,-17.51
5.3,30.15,13.25,-16.9
5.4,30,13.31,-16.69
5.5,30.78,13.37,-17.41
5.6,31.33,13.42,-17.91
5.7,31.5,13.48,-18.02
5.8,31.39,13.53,-17.86
5.9,31.02,13.59,-17.43
6,31.11,13.66,-17.45
6.1,31.52,13.74,-17.78
6.2,32.13,13.85,-18.28
6.3,32.83,13.95,-18.88
6.4,32.82,14.06,-18.76
6.5,32.63,14.16,-18.47
6.6,33.25,14.27,-18.98
6.7,33.99,14.37,-19.62
6.8,33.28,14.48,-18.8
6.9,32.74,14.59,-18.15
7,33.11,14.7,-18.41
7.1,33.41,14.73,-18.68
7.2,33.74,14.77,-18.97
7.3,34.04,14.8,-19.24
7.4,34.25,14.83,-19.42
7.5,34.12,14.87,-19.25
7.6,33.48,14.91,-18.57
7.7,33.66,14.95,-18.71
7.8,34.68,14.98,-19.7
7.9,34.79,15.02,-19.77
8,34.25,15.05,-19.2
8.1,34.19,15.13,-19.06
8.2,34.29,15.2,-19.09
8.3,34.42,15.27,-19.15
8.4,34.56,15.35,-19.21
8.5,34.61,15.42,-19.19
8.6,34.65,15.5,-19.15
8.7,35.14,15.57,-19.57
8.8,35.61,15.64,-19.97
8.9,35.83,15.74,-20.09
9,36.07,15.79,-20.28
9.1,36.58,15.81,-20.77
9.2,36.94,15.81,-21.13
9.3,36.93,15.81,-21.12
9.4,36.97,15.81,-21.16
9.5,37.08,15.81,-21.27
9.6,37.21,15.81,-21.4
9.7,37.37,15.81,-21.56
9.8,37.9,15.81,-22.09
9.9,38.77,15.82,-22.95
10,38.63,15.86,-22.77
10.1,38.05,15.89,-22.16
10.2,38.19,15.91,-22.28
10.3,38.55,15.96,-22.59
10.4,38.58,16,-22.58
10.5,38.57,16.04,-22.53
10.6,38.85,16.09,-22.76
10.7,39.15,16.13,-23.02
10.8,39.57,16.17,-23.4
10.9,39.94,16.2,-23.74
11,40.12,16.23,-23.89
11.1,40.6,16.27,-24.33
11.2,41.87,16.28,-25.59
11.3,42.95,16.29,-26.66
11.4,43.55,16.3,-27.25
11.5,42.76,16.3,-26.46
11.6,40.91,16.31,-24.6
11.7,40.66,16.34,-24.32
11.8,41.29,16.35,-24.94
11.9,41.27,16.36,-24.91
12,40.98,16.38,-24.6
12.1,40.63,16.42,-24.21
12.2,40.26,16.45,-23.81
12.3,40.6,16.49,-24.11
12.4,41.03,16.53,-24.5
12.5,41.55,16.57,-24.98
12.6,42.06,16.61,-25.45
12.7,42.22,16.65,-25.57
12.8,42.67,16.7,-25.97
12.9,44.36,16.74,-27.62
13,45.71,16.78,-28.93
13.1,45.63,16.93,-28.7
13.2,45.49,17.06,-28.43
13.3,45.28,17.2,-28.08
13.4,44.98,17.34,-27.64
13.5,44.62,17.48,-27.14
13.6,44.74,17.63,-27.11
13.7,45.18,17.78,-27.4
13.8,45.64,17.91,-27.73
13.9,46.15,18.06,-28.09
14,46.36,18.22,-28.14
14.1,46.45,18.34,-28.11
14.2,46.62,18.47,-28.15
14.3,46.8,18.61,-28.19
14.4,49.93,18.74,-31.19
14.5,53.49,18.88,-34.61
14.6,49.15,19.01,-30.14
14.7,46.57,19.15,-27.42
14.8,45.35,19.29,-26.06
14.9,44.75,19.43,-25.32
15,45.25,19.57,-25.68
15.1,45.39,19.68,-25.71
15.2,45.07,19.8,-25.27
15.3,44.79,19.92,-24.87
15.4,44.56,20.04,-24.52
15.5,44.77,20.17,-24.6
15.6,45.25,20.29,-24.96
15.7,45.54,20.4,-25.14
15.8,45.77,20.53,-25.24
15.9,46.37,20.66,-25.71
16,47.07,20.76,-26.31
16.1,46.82,20.7,-26.12
16.2,46.5,20.64,-25.86
16.3,47.52,20.59,-26.93
16.4,48.47,20.52,-27.95
16.5,47.64,20.47,-27.17
16.6,47.13,20.41,-26.72
16.7,47.72,20.35,-27.37
16.8,48.4,20.28,-28.12
16.9,49.3,20.22,-29.08
17,49.91,20.18,-29.73
17.1,49.74,19.96,-29.78
17.2,50.03,19.74,-30.29
17.3,50.89,19.54,-31.35
17.4,51.13,19.33,-31.8
17.5,50.92,19.13,-31.79
17.6,51.14,18.93,-32.21
17.7,51.57,18.73,-32.84
17.8,51.87,18.53,-33.34
17.9,52.16,18.33,-33.83
18,51.76,18.16,-33.6
