Frequency (GHz),Peak S21 (dB)
2,-13
2.1,-13.8
2.2,-14.82
2.3,-16.24
2.4,-17.11
2.5,-17.93
2.6,-19.2
2.7,-18.66
2.8,-17.08
2.9,-17.89
3,-18.18
3.1,-17.62
3.2,-18.64
3.3,-19.65
3.4,-18.31
3.5,-17.33
3.6,-16.57
3.7,-18.32
3.8,-18.53
3.9,-16.4
4,-16.08
4.1,-16.3
4.2,-17.13
4.3,-17.61
4.4,-17.82
4.5,-17.63
4.6,-17.49
4.7,-17.43
4.8,-17.37
4.9,-17.23
5,-16.77
5.1,-17.17
5.2,-18.21
5.3,-17.79
5.4,-17.33
5.5,-16.79
5.6,-17.35
5.7,-18.04
5.8,-17.91
5.9,-17.87
6,-17.88
6.1,-17.97
6.2,-18.41
6.3,-19.45
6.4,-19.8
6.5,-19.98
6.6,-20.25
6.7,-19.83
6.8,-19.02
6.9,-19.48
7,-19.8
7.1,-19.89
7.2,-19.72
7.3,-19.55
7.4,-19.66
7.5,-19.23
7.6,-18.49
7.7,-19.9
7.8,-20.49
7.9,-19.61
8,-19.57
8.1,-19.72
8.2,-19.84
8.3,-19.94
8.4,-20.03
8.5,-20.48
8.6,-21.03
8.7,-21.75
8.8,-21.59
8.9,-21.38
9,-21.76
9.1,-22.33
9.2,-23.05
9.3,-22.4
9.4,-22.16
9.5,-22.5
9.6,-22.84
9.7,-23.14
9.8,-23.3
9.9,-23.3
10,-23.21
10.1,-23.62
10.2,-23.82
10.3,-23.69
10.4,-23.54
10.5,-23.49
10.6,-23.83
10.7,-24.02
10.8,-24.1
10.9,-23.82
11,-23.73
11.1,-23.95
11.2,-24.06
11.3,-24.18
11.4,-24.4
11.5,-24.52
11.6,-24.56
11.7,-24.74
11.8,-24.79
11.9,-24.64
12,-25.25
12.1,-25.91
12.2,-25.75
12.3,-25.85
12.4,-26.13
12.5,-27.08
12.6,-27.74
12.7,-27.84
12.8,-28.12
12.9,-28.56
13,-29.53
13.1,-29.86
13.2,-29.72
13.3,-29.19
13.4,-28.76
13.5,-28.46
13.6,-28.65
13.7,-29
13.8,-29.44
13.9,-29.62
14,-29.63
14.1,-29.74
14.2,-29.85
14.3,-29.97
14.4,-31.71
14.5,-33.29
14.6,-30.93
14.7,-29.58
14.8,-28.72
14.9,-28.01
15,-27.35
15.1,-26.74
15.2,-26.67
15.3,-26.65
15.4,-26.25
15.5,-26.18
15.6,-26.34
15.7,-26.66
15.8,-26.75
15.9,-26.48
16,-26.57
16.1,-26.79
16.2,-27.17
16.3,-28.01
16.4,-29.29
16.5,-28.6
16.6,-28.43
16.7,-29.01
16.8,-29.69
16.9,-30.37
17,-30.85
17.1,-31.63
17.2,-32.69
17.3,-33.08
17.4,-33.33
17.5,-33.34
17.6,-33.86
17.7,-34.42
17.8,-34.43
17.9,-34.51
18,-34.65
