Frequency (GHz),Peak S21 (dB),Gain (dB),Offset (dB)
2,-13,8.79,21.79
2.1,-13.8,8.91,22.71
2.2,-14.82,9.06,23.88
2.3,-16.24,9.21,25.45
2.4,-17.11,9.36,26.47
2.5,-17.93,9.51,27.44
2.6,-19.2,9.66,28.86
2.7,-18.66,9.83,28.49
2.8,-17.08,9.98,27.06
2.9,-17.89,10.14,28.03
3,-18.18,10.32,28.5
3.1,-17.62,10.39,28.01
3.2,-18.64,10.49,29.13
3.3,-19.65,10.59,30.24
3.4,-18.31,10.69,29
3.5,-17.33,10.79,28.12
3.6,-16.57,10.88,27.45
3.7,-18.32,10.98,29.3
3.8,-18.53,11.08,29.61
3.9,-16.4,11.19,27.59
4,-16.08,11.3,27.38
4.1,-16.3,11.44,27.74
4.2,-17.13,11.63,28.76
4.3,-17.61,11.81,29.42
4.4,-17.82,11.99,29.81
4.5,-17.63,12.16,29.79
4.6,-17.49,12.34,29.83
4.7,-17.43,12.53,29.96
4.8,-17.37,12.72,30.09
4.9,-17.23,12.91,30.14
5,-16.77,13.1,29.87
5.1,-17.17,13.15,30.32
5.2,-18.21,13.21,31.42
5.3,-17.79,13.25,31.04
5.4,-17.33,13.31,30.64
5.5,-16.79,13.37,30.16
5.6,-17.35,13.42,30.77
5.7,-18.04,13.48,31.52
5.8,-17.91,13.53,31.44
5.9,-17.87,13.59,31.46
6,-17.88,13.66,31.54
6.1,-17.97,13.74,31.71
6.2,-18.41,13.85,32.26
6.3,-19.45,13.95,33.4
6.4,-19.8,14.06,33.86
6.5,-19.98,14.16,34.14
6.6,-20.25,14.27,34.52
6.7,-19.83,14.37,34.2
6.8,-19.02,14.48,33.5
6.9,-19.48,14.59,34.07
7,-19.8,14.7,34.5
7.1,-19.89,14.73,34.62
7.2,-19.72,14.77,34.49
7.3,-19.55,14.8,34.35
7.4,-19.66,14.83,34.49
7.5,-19.23,14.87,34.1
7.6,-18.49,14.91,33.4
7.7,-19.9,14.95,34.85
7.8,-20.49,14.98,35.47
7.9,-19.61,15.02,34.63
8,-19.57,15.05,34.62
8.1,-19.72,15.13,34.85
8.2,-19.84,15.2,35.04
8.3,-19.94,15.27,35.21
8.4,-20.03,15.35,35.38
8.5,-20.48,15.42,35.9
8.6,-21.03,15.5,36.53
8.7,-21.75,15.57,37.32
8.8,-21.59,15.64,37.23
8.9,-21.38,15.74,37.12
9,-21.76,15.79,37.55
9.1,-22.33,15.81,38.14
9.2,-23.05,15.81,38.86
9.3,-22.4,15.81,38.21
9.4,-22.16,15.81,37.97
9.5,-22.5,15.81,38.31
9.6,-22.84,15.81,38.65
9.7,-23.14,15.81,38.95
9.8,-23.3,15.81,39.11
9.9,-23.3,15.82,39.12
10,-23.21,15.86,39.07
10.1,-23.62,15.89,39.51
10.2,-23.82,15.91,39.73
10.3,-23.69,15.96,39.65
10.4,-23.54,16,39.54
10.5,-23.49,16.04,39.53
10.6,-23.83,16.09,39.92
10.7,-24.02,16.13,40.15
10.8,-24.1,16.17,40.27
10.9,-23.82,16.2,40.02
11,-23.73,16.23,39.96
11.1,-23.95,16.27,40.22
11.2,-24.06,16.28,40.34
11.3,-24.18,16.29,40.47
11.4,-24.4,16.3,40.7
11.5,-24.52,16.3,40.82
11.6,-24.56,16.31,40.87
11.7,-24.74,16.34,41.08
11.8,-24.79,16.35,41.14
11.9,-24.64,16.36,41
12,-25.25,16.38,41.63
12.1,-25.91,16.42,42.33
12.2,-25.75,16.45,42.2
12.3,-25.85,16.49,42.34
12.4,-26.13,16.53,42.66
12.5,-27.08,16.57,43.65
12.6,-27.74,16.61,44.35
12.7,-27.84,16.65,44.49
12.8,-28.12,16.7,44.82
12.9,-28.56,16.74,45.3
13,-29.53,16.78,46.31
13.1,-29.86,16.93,46.79
13.2,-29.72,17.06,46.78
13.3,-29.19,17.2,46.39
13.4,-28.76,17.34,46.1
13.5,-28.46,17.48,45.94
13.6,-28.65,17.63,46.28
13.7,-29,17.78,46.78
13.8,-29.44,17.91,47.35
13.9,-29.62,18.06,47.68
14,-29.63,18.22,47.85
14.1,-29.74,18.34,48.08
14.2,-29.85,18.47,48.32
14.3,-29.97,18.61,48.58
14.4,-31.71,18.74,50.45
14.5,-33.29,18.88,52.17
14.6,-30.93,19.01,49.94
14.7,-29.58,19.15,48.73
14.8,-28.72,19.29,48.01
14.9,-28.01,19.43,47.44
15,-27.35,19.57,46.92
15.1,-26.74,19.68,46.42
15.2,-26.67,19.8,46.47
15.3,-26.65,19.92,46.57
15.4,-26.25,20.04,46.29
15.5,-26.18,20.17,46.35
15.6,-26.34,20.29,46.63
15.7,-26.66,20.4,47.06
15.8,-26.75,20.53,47.28
15.9,-26.48,20.66,47.14
16,-26.57,20.76,47.33
16.1,-26.79,20.7,47.49
16.2,-27.17,20.64,47.81
16.3,-28.01,20.59,48.6
16.4,-29.29,20.52,49.81
16.5,-28.6,20.47,49.07
16.6,-28.43,20.41,48.84
16.7,-29.01,20.35,49.36
16.8,-29.69,20.28,49.97
16.9,-30.37,20.22,50.59
17,-30.85,20.18,51.03
17.1,-31.63,19.96,51.59
17.2,-32.69,19.74,52.43
17.3,-33.08,19.54,52.62
17.4,-33.33,19.33,52.66
17.5,-33.34,19.13,52.47
17.6,-33.86,18.93,52.79
17.7,-34.42,18.73,53.15
17.8,-34.43,18.53,52.96
17.9,-34.51,18.33,52.84
18,-34.65,18.16,52.81
